fileid;commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC;Type1;Type2;Type3;Type4;Type5;Type
29;8eab20516;696;13;4.014;45.816;1.965;0.213;19.121;615;27904;0;1;0;0;0;Type2
30;2a401f2a8;48;2;4.014;44.608;1.932;0.203;19.142;586;28539;1;0;0;0;0;Type1
31;9eeb0abee;73;2;4.014;44.642;1.932;0.203;19.155;586;28558;1;0;0;0;0;Type1
32;851f47d6;0;0;3.98;43.848;1.921;0.199;18.967;574;28636;1;0;0;0;0;Type1
33;b90f4889b;544;8;4.029;46.216;1.978;0.216;19.094;623;27739;1;0;0;0;0;Type1
34;27b8048f;0;0;3.98;43.848;1.921;0.199;18.967;574;28636;1;0;0;0;0;Type1
35;0f06e30a9;2019;17;3.987;43.854;1.921;0.199;18.974;574;28639;0;0;0;1;0;Type4
36;b532d9656;544;8;4.029;46.216;1.978;0.216;19.094;623;27739;1;0;0;0;0;Type1
37;b6ef902ea;1851;18;3.987;43.854;1.921;0.199;18.974;574;28639;0;0;0;1;0;Type4
38;a71e46f94;56;1;3.954;43.664;1.921;0.197;18.901;570;28692;1;0;0;0;0;Type1
39;9fdb04719;0;0;3.947;43.632;1.921;0.197;18.868;570;28672;1;0;0;0;0;Type1
40;4076baa81;0;0;3.947;43.632;1.921;0.197;18.868;570;28672;1;0;0;0;0;Type1
41;527e07b26;0;0;3.947;43.632;1.921;0.197;18.868;570;28672;1;0;0;0;0;Type1
42;d458ef780;0;0;3.947;43.632;1.921;0.197;18.868;570;28672;1;0;0;0;0;Type1
43;8e00662cb;488;6;5.109;58.442;2.029;0.196;27.884;1676;33855;1;0;0;0;0;Type1
44;1247b230b;111;3;3.96;43.715;1.927;0.199;18.881;572;28560;1;0;0;0;0;Type1
45;bef59a4de;110;2;3.96;43.907;1.927;0.199;18.947;573;28630;1;0;0;0;0;Type1
46;12ac3f395;0;0;3.96;43.715;1.927;0.199;18.881;572;28559;1;0;0;0;0;Type1
47;022d55090;0;0;3.96;43.715;1.927;0.199;18.881;572;28559;1;0;0;0;0;Type1
48;73c8f1c4a;0;0;3.96;43.808;1.927;0.199;18.954;572;28604;1;0;0;0;0;Type1
49;a281930f3;0;0;3.96;43.901;1.927;0.199;18.94;572;28627;1;0;0;0;0;Type1
50;5fd56b5d9;0;0;3.96;43.808;1.927;0.199;18.954;572;28604;1;0;0;0;0;Type1
51;776952762;69;1;3.975;42.22;1.956;0.189;18.403;545;28870;1;0;0;0;0;Type1
52;1445529d1;0;0;3.922;40.455;1.916;0.18;17.904;519;29085;1;0;0;0;0;Type1
53;66a811eee;866;19;3.958;40.903;1.927;0.182;18.067;525;29055;0;1;0;0;0;Type2
54;aa2d0e0c3;160;4;3.903;43.09;1.942;0.194;18.697;558;28763;1;0;0;0;0;Type1
55;6a59764e0;10;1;3.93;42.209;1.93;0.19;18.405;547;28780;1;0;0;0;0;Type1
56;5e17ae84a;0;0;3.93;42.215;1.93;0.19;18.411;547;28784;1;0;0;0;0;Type1
57;f183579ea;4;1;3.93;42.215;1.93;0.19;18.411;547;28784;1;0;0;0;0;Type1
58;bddb47ed2;167;4;3.903;43.11;1.942;0.194;18.716;558;28769;1;0;0;0;0;Type1
59;dd772f761;0;0;3.915;43.49;1.935;0.196;18.83;565;28697;1;0;0;0;0;Type1
60;a07fc245d;76;2;3.915;43.49;1.935;0.196;18.83;565;28697;1;0;0;0;0;Type1
61;14308c66d;0;0;3.903;43.11;1.942;0.194;18.716;558;28769;1;0;0;0;0;Type1
62;2a051a76a;167;4;3.903;43.11;1.942;0.194;18.716;558;28769;1;0;0;0;0;Type1
63;2fde40f46;10;1;3.93;42.215;1.93;0.19;18.411;547;28784;1;0;0;0;0;Type1
64;af1828a00;107;5;3.93;42.209;1.93;0.19;18.405;547;28780;1;0;0;0;0;Type1
65;373113454;366;5;3.932;41.615;1.938;0.186;18.261;537;28874;1;0;0;0;0;Type1
66;51c36c732;27;2;3.931;41.9;1.956;0.188;18.263;541;28848;1;0;0;0;0;Type1
67;0947e3d55;0;0;3.975;42.031;1.956;0.188;18.425;541;28906;1;0;0;0;0;Type1
68;fe44fbf7e;9;1;3.95;41.969;1.956;0.188;18.306;541;28886;1;0;0;0;0;Type1
69;1d89e86b6;102;4;3.95;41.963;1.956;0.188;18.294;541;28883;1;0;0;0;0;Type1
70;bed305a55;459;10;3.963;41.975;1.956;0.188;18.363;541;28892;1;0;0;0;0;Type1
71;a1d63c27d;0;0;3.932;41.615;1.938;0.186;18.248;537;28874;1;0;0;0;0;Type1
72;4139c59b1;614;13;4.036;46.23;1.978;0.216;19.101;623;27755;0;1;0;0;0;Type2
73;078a6f563;49;2;3.942;39.237;1.896;0.185;17.497;501;29219;1;0;0;0;0;Type1
74;d66e094a3;61;1;4.021;46.021;1.971;0.214;19.15;619;27830;1;0;0;0;0;Type1
75;13d821456;772;16;3.986;45.535;1.958;0.211;19.021;610;27921;0;1;0;0;0;Type2
76;f830e0091;2785;30;4.017;38.977;1.886;0.183;17.566;495;29354;0;0;0;0;1;Type5
77;22997bbfd;1;1;3.986;45.549;1.958;0.211;19.021;610;27921;1;0;0;0;0;Type1
78;f9945b55f;380;10;4.017;38.977;1.886;0.183;17.566;495;29354;1;0;0;0;0;Type1
79;556c6ea5;0;0;3.989;39.029;1.886;0.183;17.651;495;29404;1;0;0;0;0;Type1
80;e25601e3e;37;2;5.101;52.19;1.968;0.184;25.487;1469;34448;1;0;0;0;0;Type1
81;ab6eb0843;679;3;3.961;38.078;1.872;0.178;17.278;482;29493;0;1;0;0;0;Type2
82;7452ce824;0;0;3.994;38.388;1.882;0.18;17.41;487;29423;1;0;0;0;0;Type1
83;3f9bb3e58;0;0;3.989;38.388;1.882;0.18;17.416;487;29422;1;0;0;0;0;Type1
84;4b0a97668;137;1;3.989;38.393;1.882;0.18;17.427;487;29428;1;0;0;0;0;Type1
85;6b05276b7;554;3;3.983;38.291;1.877;0.179;17.374;484;29491;1;0;0;0;0;Type1
86;69e641939;287;5;5.138;51.75;1.994;0.2;25.425;1451;34606;1;0;0;0;0;Type1
87;137da0326;13;2;4.017;38.421;1.882;0.18;17.472;487;29468;1;0;0;0;0;Type1
88;21203cbe1;20;2;4.017;38.421;1.882;0.18;17.494;487;29474;1;0;0;0;0;Type1
89;6a1cdcdd0;15;1;3.944;38.14;1.877;0.179;17.302;485;29445;1;0;0;0;0;Type1
90;2165ecaa0;0;0;4.022;37.89;1.874;0.181;17.467;477;29725;1;0;0;0;0;Type1
91;39c032b49;690;17;4.022;37.885;1.874;0.181;17.467;477;29725;0;1;0;0;0;Type2
92;7f87574f7;2;1;3.95;41.801;1.963;0.186;18.248;538;28948;1;0;0;0;0;Type1
93;24b3f648;0;0;3.969;42.044;1.956;0.188;18.356;541;28938;1;0;0;0;0;Type1
94;12cddf0d9;695;17;4.005;37.694;1.88;0.18;17.383;474;29734;0;1;0;0;0;Type2
95;88e9da805;14;4;3.951;41.586;1.957;0.185;18.179;535;28979;1;0;0;0;0;Type1
96;f65e736a1;4;1;3.951;41.35;1.951;0.184;18.074;531;28989;1;0;0;0;0;Type1
97;2e80136ca;175;1;5.047;54.507;2.047;0.18;26.307;1546;34214;1;0;0;0;0;Type1
98;4edca6f01;394;9;3.951;41.35;1.951;0.184;18.074;531;28989;1;0;0;0;0;Type1
99;ed41a6761;10;1;3.951;41.35;1.951;0.184;18.074;531;28993;1;0;0;0;0;Type1
100;74909a006;384;8;3.951;41.35;1.951;0.184;18.074;531;28993;1;0;0;0;0;Type1
101;553ef6ee7;0;0;3.989;37.161;1.866;0.177;17.177;467;29807;1;0;0;0;0;Type1
102;ddcb89e1f;19;1;3.989;37.161;1.866;0.177;17.177;467;29807;1;0;0;0;0;Type1
103;2f38d1aaa;49;1;3.989;37.167;1.866;0.177;17.188;467;29811;1;0;0;0;0;Type1
104;8028cc38e;0;0;3.989;37.172;1.866;0.177;17.188;467;29813;1;0;0;0;0;Type1
105;63914efb0;651;6;3.989;37.172;1.866;0.177;17.188;467;29813;0;1;0;0;0;Type2
106;d535f878f;0;0;4.037;36.351;1.848;0.173;16.937;455;29962;1;0;0;0;0;Type1
107;4a47eef28;0;0;4.037;36.351;1.848;0.173;16.937;455;29962;1;0;0;0;0;Type1
108;143c91f0b;0;0;4.037;36.351;1.848;0.173;16.937;455;29962;1;0;0;0;0;Type1
109;59de784e9;52;1;4.037;36.356;1.848;0.173;16.942;455;29973;1;0;0;0;0;Type1
110;8bcf02ac3;52;1;4.037;36.356;1.848;0.173;16.937;455;29971;1;0;0;0;0;Type1
111;05fa62d9d;547;3;4.037;36.356;1.848;0.173;16.942;455;29973;1;0;0;0;0;Type1
112;26ff527ad;0;0;4.036;36.172;1.844;0.172;16.875;452;29980;1;0;0;0;0;Type1
113;5284c3a3e;0;0;4.036;36.172;1.844;0.172;16.875;452;29980;1;0;0;0;0;Type1
114;e1579af56;2;1;5.144;48.236;1.994;0.167;24.379;1336;35264;1;0;0;0;0;Type1
115;05bf2b0be;0;0;4.036;36.047;1.86;0.171;16.943;450;30053;1;0;0;0;0;Type1
116;07f8c691b;0;0;4.041;36.109;1.86;0.171;16.948;450;30078;1;0;0;0;0;Type1
117;9b1c9d4f1;0;0;4.036;36.047;1.86;0.171;16.943;450;30053;1;0;0;0;0;Type1
118;e6698e4ba;0;0;5.149;48.368;1.994;0.167;24.385;1336;35349;1;0;0;0;0;Type1
119;d5cc92d8a;22;1;4.041;36.197;1.86;0.171;16.979;450;30181;1;0;0;0;0;Type1
120;347e4ea;0;0;4.041;36.202;1.86;0.171;16.979;450;30183;1;0;0;0;0;Type1
121;959388b3;0;0;4.256;46.323;1.571;0.128;19.173;634;26672;1;0;0;0;0;Type1
122;4932831f8;18;1;4.052;36;1.861;0.175;16.902;448;30180;1;0;0;0;0;Type1
123;6d5431f63;0;0;4.052;35.985;1.861;0.175;16.876;448;30177;1;0;0;0;0;Type1
124;872897d6a;150;1;4.272;45.507;1.581;0.132;19.037;621;26823;1;0;0;0;0;Type1
125;93562a780;0;0;4.259;45.696;1.578;0.133;19.037;625;26718;1;0;0;0;0;Type1
126;479b974fe;149;1;4.259;45.696;1.578;0.133;19.037;625;26718;1;0;0;0;0;Type1
127;026dd50d8;0;0;4.259;45.778;1.578;0.133;19.111;625;26748;1;0;0;0;0;Type1
128;79ab98fef;0;0;4.162;44.721;1.581;0.132;18.316;621;26349;1;0;0;0;0;Type1
129;d60f1df99;0;0;4.052;36.015;1.861;0.175;16.923;448;30192;1;0;0;0;0;Type1
130;2a8c06381;0;0;3.979;45.09;1.979;0.208;18.986;602;28026;1;0;0;0;0;Type1
131;50abaaa23;9;1;4.052;36.036;1.861;0.175;16.923;448;30200;1;0;0;0;0;Type1
132;f3619c312;21;14;4.256;46.18;1.571;0.128;19.075;634;26635;1;0;0;0;0;Type1
133;192d689b;0;0;4.256;46.165;1.571;0.128;19.075;634;26620;1;0;0;0;0;Type1
134;6a09ee5eb;4;1;4.256;46.323;1.571;0.128;19.173;634;26672;1;0;0;0;0;Type1
135;4f33d0851;0;0;4.256;46.323;1.571;0.128;19.173;634;26672;1;0;0;0;0;Type1
136;87c87c289;33;1;4.269;46.007;1.575;0.127;19.172;630;26700;1;0;0;0;0;Type1
137;d4ca6ce12;75;5;4.269;46.06;1.575;0.127;19.216;630;26715;1;0;0;0;0;Type1
138;83ede8fdb;122;8;4.256;46.323;1.571;0.128;19.173;634;26672;1;0;0;0;0;Type1
139;aa46fdb97;2;1;4.256;46.165;1.571;0.128;19.075;634;26629;1;0;0;0;0;Type1
140;0783f40ba;0;0;3.596;15.671;1.521;0.103;12.548;31;8593;1;0;0;0;0;Type1
141;38aefb2ab;565;12;3.62;16.661;1.554;0.091;13.537;33;7871;0;1;0;0;0;Type2
142;fcd633686;6;1;4.256;46.195;1.571;0.128;19.083;634;26639;1;0;0;0;0;Type1
143;2a71073c3;5;1;4.256;46.203;1.571;0.128;19.113;634;26645;1;0;0;0;0;Type1
144;5a6af2cf0;263;9;4.259;45.778;1.578;0.133;19.111;625;26748;1;0;0;0;0;Type1
145;d75cc24a;0;0;4.256;46.211;1.571;0.128;19.113;634;26646;1;0;0;0;0;Type1
146;915c9d6f8;1613;18;3.593;15.427;1.533;0.1;12.847;29;8780;0;0;1;0;0;Type3
147;bff6f2818;4;1;3.723;16.652;1.554;0.08;13.134;25;7296;1;0;0;0;0;Type1
148;1c3718959;5;1;3.723;16.652;1.554;0.08;13.134;25;7296;1;0;0;0;0;Type1
149;bc6b488cf;35;4;3.732;16.652;1.554;0.08;13.134;25;7296;1;0;0;0;0;Type1
150;fa0d37dad;63;3;3.723;16.509;1.554;0.08;13.071;23;7249;1;0;0;0;0;Type1
151;b0d8a504d;55;1;3.696;17.009;1.571;0.098;13.313;27;7376;1;0;0;0;0;Type1
152;4b69baada;0;0;3.714;16.866;1.571;0.098;13.259;26;7354;1;0;0;0;0;Type1
153;36fd0bf34;39;1;3.714;16.866;1.571;0.098;13.259;26;7354;1;0;0;0;0;Type1
154;afbbe7775;0;0;3.696;16.759;1.571;0.098;13.223;25;7324;1;0;0;0;0;Type1
155;b7d1846eb;28;1;3.696;16.759;1.571;0.098;13.223;25;7324;1;0;0;0;0;Type1
156;f2d92bbd0;72;4;3.696;16.714;1.571;0.098;13.125;25;7308;1;0;0;0;0;Type1
157;22be22a5a;0;0;3.696;16.714;1.571;0.098;13.125;25;7308;1;0;0;0;0;Type1
158;b278c19a2;2013;23;3.696;16.714;1.571;0.098;13.125;25;7308;0;0;0;1;0;Type4
159;ec1310e1b;0;0;4.256;46.323;1.571;0.128;19.173;634;26672;1;0;0;0;0;Type1
160;abe6ff5f3;80;1;3.673;17.027;1.566;0.097;13.327;31;7453;1;0;0;0;0;Type1
161;6d28e12a4;58;1;3.673;17.133;1.566;0.097;13.372;34;7498;1;0;0;0;0;Type1
162;035e57e90;18;1;3.673;17.257;1.566;0.097;13.425;35;7535;1;0;0;0;0;Type1
163;10af59f6f;2319;23;3.681;17.221;1.566;0.097;13.416;34;7521;0;0;0;0;1;Type5
164;2c941d424;2062;23;3.605;15.336;1.533;0.132;12.336;29;8759;0;0;0;1;0;Type4
165;b2a88ecdd;18;1;3.708;17.469;1.558;0.097;13.717;36;7637;1;0;0;0;0;Type1
166;2de206;0;0;3.708;17.558;1.558;0.097;13.743;36;7675;1;0;0;0;0;Type1
167;98bdc7b58;1404;11;3.708;17.558;1.558;0.097;13.743;36;7675;0;0;1;0;0;Type3
168;1b783fa48;4;2;4.269;46;1.575;0.127;19.164;630;26692;1;0;0;0;0;Type1
169;7b2ed12ad;1378;10;3.684;17.412;1.553;0.096;13.632;36;7680;0;0;1;0;0;Type3
170;b9e186e45;4;1;3.684;17.377;1.553;0.096;13.632;36;7666;1;0;0;0;0;Type1
171;257238c05;0;0;3.684;17.36;1.553;0.096;13.605;36;7655;1;0;0;0;0;Type1
172;85aecfe0d;0;0;3.684;17.377;1.553;0.096;13.605;36;7663;1;0;0;0;0;Type1
173;6eef45394;0;0;3.684;17.368;1.553;0.096;13.605;36;7657;1;0;0;0;0;Type1
174;15f3d1f8e;0;0;3.684;17.368;1.553;0.096;13.605;36;7657;1;0;0;0;0;Type1
175;5ff4c9f8d;108;5;3.702;17.079;1.553;0.096;13.588;35;7540;1;0;0;0;0;Type1
176;99715d22d;235;1;3.684;17.07;1.553;0.096;13.57;35;7547;1;0;0;0;0;Type1
177;2f08fe4e;0;0;3.684;17.36;1.553;0.096;13.605;36;7657;1;0;0;0;0;Type1
178;92118494e;0;0;3.684;17.07;1.553;0.096;13.57;35;7547;1;0;0;0;0;Type1
179;b16ee6c7b;0;0;3.684;17.07;1.553;0.096;13.57;35;7547;1;0;0;0;0;Type1
180;fd4a5a82b;0;0;3.684;17.07;1.553;0.096;13.57;35;7547;1;0;0;0;0;Type1
181;980709f6f;3;2;3.684;17.07;1.553;0.096;13.57;35;7547;1;0;0;0;0;Type1
182;ff95d0366;26;1;3.702;17.079;1.553;0.096;13.57;35;7539;1;0;0;0;0;Type1
183;78936541b;1242;25;3.582;14.126;1.467;0.115;11.165;27;9714;0;0;1;0;0;Type3
184;d46098262;7;1;3.702;17.07;1.553;0.096;13.623;35;7536;1;0;0;0;0;Type1
185;e911788e;0;0;4.636;22.755;1.736;0.127;20.9;107;10244;1;0;0;0;0;Type1
186;e385f67f;0;0;4.622;22.721;1.73;0.126;20.811;105;10324;1;0;0;0;0;Type1
187;e76d41345;0;0;3.702;17.105;1.553;0.096;13.632;35;7557;1;0;0;0;0;Type1
188;1d266d89;0;0;3.711;17.14;1.553;0.096;13.658;35;7569;1;0;0;0;0;Type1
189;ad74c5f7;0;0;3.719;17.202;1.553;0.096;13.719;35;7598;1;0;0;0;0;Type1
190;606604d7d;4;1;3.719;17.202;1.553;0.096;13.719;35;7598;1;0;0;0;0;Type1
191;86f84c8a3;0;0;3.545;15.195;1.526;0.13;12.182;29;8782;1;0;0;0;0;Type1
192;589f514a4;5;1;3.545;15.195;1.526;0.13;12.182;29;8782;1;0;0;0;0;Type1
193;600740383;6;2;3.562;15.275;1.529;0.131;12.229;29;8769;1;0;0;0;0;Type1
194;f474d1c58;322;7;3.719;17.368;1.553;0.096;13.719;35;7654;1;0;0;0;0;Type1
195;d1feeb541;384;7;3.719;17.202;1.553;0.096;13.719;35;7598;1;0;0;0;0;Type1
196;b6514e4b;0;0;3.545;15.24;1.526;0.13;12.24;29;8806;1;0;0;0;0;Type1
197;1f564d670;779;14;3.545;15.227;1.526;0.13;12.208;29;8792;0;1;0;0;0;Type2
198;6f5f9bedb;0;0;3.539;15.24;1.526;0.13;12.234;29;8804;1;0;0;0;0;Type1
199;2c234a09f;2;1;3.539;15.24;1.526;0.13;12.234;29;8804;1;0;0;0;0;Type1
200;58581e2eb;5;1;3.719;17.202;1.553;0.096;13.719;35;7598;1;0;0;0;0;Type1
201;5989bb400;778;13;3.556;15.327;1.529;0.131;12.288;29;8794;0;1;0;0;0;Type2
202;e327bb091;30;1;4.522;22.08;1.673;0.106;19.876;102;10121;1;0;0;0;0;Type1
203;498d615fb;4;1;3.681;17.138;1.56;0.095;13.595;35;7698;1;0;0;0;0;Type1
204;251bb76e;0;0;3.5;15.025;1.525;0.133;11.905;29;8909;1;0;0;0;0;Type1
205;46e667e7;0;0;4.694;23.027;1.73;0.126;21.036;105;10443;1;0;0;0;0;Type1
206;6d55c6ea0;0;0;3.506;15.044;1.525;0.133;11.937;29;8925;1;0;0;0;0;Type1
207;aa0cadbd0;0;0;3.506;15.044;1.525;0.133;11.937;29;8925;1;0;0;0;0;Type1
208;0110fd8ff;526;11;3.506;15.044;1.525;0.133;11.937;29;8925;1;0;0;0;0;Type1
209;dba808c3d;0;0;3.658;17.068;1.556;0.094;13.615;34;7740;1;0;0;0;0;Type1
210;b32dc9350;0;0;3.529;14.047;1.483;0.11;11.064;27;9076;1;0;0;0;0;Type1
211;4db6c737b;0;0;3.544;14.111;1.485;0.111;11.105;27;9057;1;0;0;0;0;Type1
212;ec1db8ca8;0;0;3.658;17.068;1.556;0.094;13.615;34;7741;1;0;0;0;0;Type1
213;323458c8d;0;0;3.529;14.047;1.483;0.11;11.064;27;9076;1;0;0;0;0;Type1
214;59b817791;0;0;3.535;14.07;1.483;0.11;11.128;27;9133;1;0;0;0;0;Type1
215;402c24d10;0;0;3.535;14.07;1.483;0.11;11.122;27;9130;1;0;0;0;0;Type1
216;930289aa6;0;0;3.535;14.07;1.483;0.11;11.122;27;9130;1;0;0;0;0;Type1
217;ac4aea47b;0;0;3.506;14.006;1.477;0.109;11.006;27;9182;1;0;0;0;0;Type1
218;ab227d37e;0;0;3.506;14.006;1.477;0.109;11.006;27;9182;1;0;0;0;0;Type1
219;24b32422e;23;5;3.506;14.006;1.477;0.109;11.006;27;9182;1;0;0;0;0;Type1
220;e646ca252;828;8;4.185;17.661;1.56;0.119;15.69;73;11853;0;1;0;0;0;Type2
221;6679393b7;37;3;3.511;14.075;1.477;0.109;11.023;27;9203;1;0;0;0;0;Type1
222;a83d6e988;350;7;3.506;14.006;1.477;0.109;11.006;27;9182;1;0;0;0;0;Type1
223;ea5155656;4;1;3.651;14.564;1.488;0.122;11.448;29;9436;1;0;0;0;0;Type1
224;fe739de2a;29;1;3.651;14.564;1.488;0.122;11.448;29;9436;1;0;0;0;0;Type1
225;b65b576eb;40;1;3.582;14.265;1.488;0.106;11.188;27;9170;1;0;0;0;0;Type1
226;643d9515a;4;1;3.651;14.547;1.483;0.122;11.43;29;9443;1;0;0;0;0;Type1
227;87e2e68b8;0;0;3.612;14.588;1.488;0.124;11.476;29;9384;1;0;0;0;0;Type1
228;6d46bd0bd;0;0;3.618;14.618;1.488;0.124;11.482;29;9397;1;0;0;0;0;Type1
229;a7024791;0;0;3.632;14.55;1.485;0.123;11.421;29;9408;1;0;0;0;0;Type1
230;9521d54be;10;1;3.612;14.594;1.488;0.124;11.482;29;9388;1;0;0;0;0;Type1
231;61592d78f;0;0;3.612;14.588;1.488;0.124;11.482;29;9384;1;0;0;0;0;Type1
232;eacddd612;0;0;3.602;14.614;1.491;0.123;11.456;29;9432;1;0;0;0;0;Type1
233;350adb99;0;0;3.602;14.585;1.491;0.123;11.439;29;9413;1;0;0;0;0;Type1
234;b42c6667e;0;0;3.602;14.544;1.491;0.123;11.439;29;9405;1;0;0;0;0;Type1
235;740f251f;0;0;3.602;14.544;1.491;0.123;11.439;29;9405;1;0;0;0;0;Type1
236;96c457696;5;1;3.622;14.581;1.488;0.122;11.442;29;9464;1;0;0;0;0;Type1
237;1e61cd6b4;0;0;3.526;12.84;1.429;0.109;10.577;27;8450;1;0;0;0;0;Type1
238;725dffa69;4;1;3.567;13.439;1.433;0.111;10.713;28;8569;1;0;0;0;0;Type1
239;3e1a9443;0;0;3.568;13.533;1.432;0.112;10.793;28;8524;1;0;0;0;0;Type1
240;269a8b119;2480;24;3.616;14.576;1.488;0.122;11.453;29;9463;0;0;0;0;1;Type5
241;4cf77cd90;2450;24;3.616;14.587;1.488;0.122;11.459;29;9461;0;0;0;0;1;Type5
242;5eca70b1d;0;0;3.526;12.84;1.429;0.109;10.577;27;8450;1;0;0;0;0;Type1
243;d805fb4e1;2493;24;3.616;14.587;1.488;0.122;11.459;29;9461;0;0;0;0;1;Type5
244;f8aecd0f9;2;1;3.539;12.674;1.438;0.112;10.584;27;8508;1;0;0;0;0;Type1
245;6303f8494;2493;24;3.616;14.587;1.488;0.122;11.459;29;9461;0;0;0;0;1;Type5
246;7552636bd;6;1;3.608;14.591;1.491;0.123;11.462;29;9403;1;0;0;0;0;Type1
247;3bb6104b;0;0;3.608;14.585;1.491;0.123;11.462;29;9399;1;0;0;0;0;Type1
248;2288f035b;0;0;3.608;14.585;1.491;0.123;11.462;29;9399;1;0;0;0;0;Type1
249;ddfa2891;0;0;3.585;14.324;1.483;0.119;11.347;28;9517;1;0;0;0;0;Type1
250;2d6581445;187;5;3.608;14.591;1.491;0.123;11.462;29;9403;1;0;0;0;0;Type1
251;0c123d7d1;29;2;3.602;14.42;1.483;0.119;11.369;28;9599;1;0;0;0;0;Type1
252;de95ef6c4;0;0;3.569;14.182;1.47;0.116;11.199;27;9698;1;0;0;0;0;Type1
253;060ec30e1;36;7;3.602;14.432;1.483;0.119;11.369;28;9609;1;0;0;0;0;Type1
254;e2bf41ddd;2047;15;3.582;14.126;1.467;0.115;11.165;27;9714;0;0;0;1;0;Type4
255;5bc6cee11;1211;11;3.539;12.674;1.438;0.112;10.584;27;8508;0;0;1;0;0;Type3
256;50a503417;20;1;3.563;14.066;1.464;0.115;11.104;27;9722;1;0;0;0;0;Type1
257;334e75254;6;1;4.485;17.415;1.567;0.105;16.579;85;12703;1;0;0;0;0;Type1
258;b2f8b9b6;0;0;3.435;12.255;1.435;0.109;10.234;26;8511;1;0;0;0;0;Type1
259;03283bb09;10;2;3.545;12.708;1.438;0.112;10.612;27;8525;1;0;0;0;0;Type1
260;96b7c5ec6;10;2;3.545;12.708;1.438;0.112;10.612;27;8525;1;0;0;0;0;Type1
261;765519a56;0;0;3.528;12.594;1.444;0.111;10.528;27;8553;1;0;0;0;0;Type1
262;91da999cb;0;0;3.536;12.648;1.441;0.112;10.581;27;8540;1;0;0;0;0;Type1
263;90a533b82;53;2;3.531;12.642;1.441;0.112;10.57;27;8531;1;0;0;0;0;Type1
264;971bd7705;2;1;3.536;12.659;1.447;0.112;10.564;27;8547;1;0;0;0;0;Type1
265;956ddda98;4;1;3.536;12.659;1.447;0.112;10.57;27;8547;1;0;0;0;0;Type1
