commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
669c7b6bb;397;5;4.66;3.14;1.25;0.11;2.23;1.04;791.00
b032731cf;52;3;4.23;2.77;1.26;0.11;2.08;1.11;645.00
782909f7b;262;3;4.74;3.33;1.25;0.11;2.51;1.02;881.00
18eed1a94;19;1;4.78;3.11;1.26;0.11;2.20;1.07;731.00
a39f9f8a0;81;1;4.69;3.52;1.24;0.10;2.52;1.00;917.00
5417b596b;54;3;4.23;2.79;1.26;0.11;2.08;1.17;647.00
0b8014c85;3096;45;4.71;3.97;1.17;0.07;5.45;2.39;1993.00
6ec81dfcb;2435;36;4.70;3.92;1.17;0.07;5.39;2.39;1918.00
8acdaa156;36;2;4.69;3.92;1.17;0.07;5.48;2.43;1936.00
62564d664;34;1;4.69;3.99;1.17;0.07;5.56;2.40;2037.00
22885fa9f;49;1;4.71;3.99;1.17;0.07;5.57;2.40;2047.00
9a6f9cbb2;694;14;4.70;4.02;1.17;0.07;5.55;2.43;2030.00
7e43a6c40;143;2;4.84;4.35;1.21;0.09;5.76;3.07;2408.00
564fba0fb;86;1;4.84;4.25;1.22;0.09;5.52;2.42;2321.00
a17b59238;157;1;4.85;4.27;1.22;0.09;5.64;2.39;2413.00
e1a4d0261;40;2;4.99;4.15;1.20;0.08;5.61;2.80;2548.00
ba1d44853;111;12;5.19;4.24;1.20;0.08;5.91;2.88;2556.00
5f0dfc57a;1489;24;5.12;4.22;1.27;0.08;5.75;3.60;2725.00
3ec9ef3e6;161;2;5.14;4.21;1.27;0.08;5.82;3.57;2757.00
04a9e05ee;162;1;5.14;4.27;1.27;0.08;5.95;3.71;2838.00
829f016a6;13;1;5.14;4.21;1.27;0.08;5.82;3.57;2757.00
a1191a217;93;1;5.15;4.21;1.27;0.08;5.76;3.55;2739.00
6b036e806;34;1;5.14;4.23;1.25;0.08;5.96;3.69;2839.00
8425eff1d;73;1;5.12;4.17;1.25;0.08;5.91;3.73;2791.00
813988b67;64;3;5.18;4.10;1.25;0.08;5.92;3.79;2772.00
109572d78;169;4;5.16;4.29;1.25;0.08;5.97;3.75;2862.00
dccbc6baa;76;1;5.16;4.29;1.25;0.08;5.97;3.75;2862.00
622b66125;134;2;5.21;4.19;1.25;0.08;5.93;3.91;2832.00
9a94fd278;23;1;5.20;3.94;1.28;0.08;5.35;3.63;2692.00
1f7d6dccd;2;1;5.23;3.96;1.26;0.08;5.43;3.64;2676.00
28dd5fcdb;87;3;5.20;3.94;1.28;0.08;5.35;3.63;2692.00
06f5d836a;205;6;5.36;4.03;1.22;0.07;5.54;3.79;2899.00
1da668a86;468;5;5.73;4.27;1.26;0.07;6.13;4.00;3283.00
84309b657;983;54;5.45;4.50;1.19;0.08;6.23;3.81;3157.00
9ee0fdcd0;8;1;5.57;4.28;1.27;0.07;5.90;3.98;3056.00
0bd83a9bb;993;57;5.57;4.28;1.27;0.07;5.90;3.98;3056.00
bdf075e87;385;45;5.57;4.28;1.27;0.07;5.90;3.98;3056.00
aa8c7c3c1;9;1;5.45;4.48;1.19;0.08;6.19;3.86;3140.00
0f92fdd8e;41;1;5.44;4.51;1.20;0.09;6.17;3.74;3194.00
446acf5cd;91;4;5.58;4.44;1.19;0.09;6.31;3.81;3391.00
95ce9aaae;54;1;5.61;4.49;1.19;0.09;6.39;3.77;3421.00
3c244fbc0;54;1;5.61;4.49;1.19;0.09;6.39;3.77;3421.00
d012a528e;963;58;5.57;4.28;1.27;0.07;5.90;3.98;3056.00
dd94e7b6a;667;64;5.56;4.40;1.21;0.09;6.23;3.59;3413.00
d764c1b09;226;10;5.59;4.46;1.20;0.10;6.22;3.74;3330.00
26a8642a7;28;3;5.59;4.46;1.20;0.10;6.22;3.74;3330.00
1cac6fc58;8;1;5.59;4.48;1.20;0.10;6.24;3.74;3338.00
ffbf2ff18;52;1;5.61;3.78;1.19;0.08;5.19;3.11;3430.00
f4c83f432;598;25;5.64;3.77;1.17;0.08;5.23;3.13;3401.00
53fb292f3;346;12;5.54;4.44;1.20;0.09;6.28;3.64;3439.00
26f8e8350;101;5;5.65;3.90;1.17;0.08;5.35;3.52;3487.00
afc4da1aa;6;1;5.61;3.94;1.17;0.09;5.31;3.59;3529.00
6b25b2304;126;1;5.62;3.88;1.16;0.09;5.35;3.73;3569.00
8b3862e67;790;15;5.49;3.94;1.17;0.08;5.42;4.25;3675.00
68d40628a;180;5;5.65;4.00;1.16;0.08;5.47;4.35;3638.00
940c26eb6;109;5;5.51;3.98;1.16;0.08;5.35;4.32;3626.00
9f990cacf;4;1;5.51;3.98;1.16;0.08;5.35;4.32;3626.00
271eda44a;4;1;5.51;3.98;1.16;0.08;5.36;4.32;3627.00
ea73bd1f5;130;8;5.51;3.98;1.16;0.08;5.35;4.32;3626.00
e68f0b20a;3;1;5.47;4.03;1.17;0.08;5.38;4.10;3655.00
352e7fa5b;83;2;5.47;4.20;1.18;0.08;5.45;4.07;3767.00
fb47ac807;49;3;5.46;4.03;1.19;0.08;5.36;4.15;3636.00
7298e763b;61;2;5.48;4.03;1.17;0.08;5.39;4.17;3618.00
59ded837d;208;3;5.46;4.03;1.19;0.08;5.36;4.15;3636.00
8525f6f43;15;3;5.48;3.92;1.19;0.08;5.32;4.17;3512.00
9791c2d1e;15;3;5.46;3.92;1.19;0.08;5.32;4.17;3512.00
3e26fa32b;8;2;5.46;3.92;1.19;0.08;5.32;4.17;3512.00
19a9d33b0;94;1;5.46;3.99;1.20;0.08;5.34;4.16;3573.00
6896110c5;312;1;5.54;4.15;1.19;0.08;5.38;4.88;3679.00
e79790556;799;31;5.48;4.01;1.21;0.08;5.33;4.22;3583.00
073418f72;70;2;5.47;4.81;1.22;0.10;6.47;5.67;3597.00
6fe11aa16;89;2;5.49;4.82;1.22;0.10;6.38;5.51;3647.00
f6af2dc15;364;41;5.49;4.76;1.23;0.09;6.43;5.68;3762.00
8fa3a3742;491;40;5.51;4.85;1.22;0.10;6.26;5.62;3578.00
5d7d73c31;326;3;5.41;4.90;1.24;0.09;6.46;5.63;3870.00
2a08d800b;41;3;5.41;4.74;1.22;0.09;6.40;5.64;3760.00
2d11791c6;861;21;5.31;4.78;1.26;0.09;5.87;4.10;3789.00
ea2249afe;432;17;5.41;4.72;1.23;0.09;6.37;5.65;3768.00
6eeb24901;362;16;5.41;4.74;1.22;0.09;6.40;5.64;3760.00
459da07f1;17;1;5.29;4.75;1.27;0.12;5.84;4.05;3846.00
7058a7674;50;1;5.29;4.75;1.27;0.12;5.84;4.05;3846.00
09c3b6249;239;13;5.32;4.77;1.27;0.12;5.94;4.09;3869.00
5dbb81fbd;113;5;5.27;4.74;1.27;0.12;5.81;4.05;3857.00
d3f83facd;230;11;5.29;4.75;1.27;0.12;5.84;4.05;3846.00
84c72a517;2;1;5.84;5.48;1.29;0.17;6.88;4.21;4579.00
a2701658d;2;1;5.84;5.48;1.29;0.17;6.88;4.21;4579.00
bf29c6110;99;2;5.89;5.51;1.28;0.16;6.95;4.20;4534.00
b86e1da5d;16;1;5.70;6.00;1.32;0.18;6.86;4.67;4982.00
b44e8ad04;12;2;5.70;6.00;1.32;0.18;6.86;4.67;4983.00
3a0d891f1;3;1;5.70;6.00;1.32;0.18;6.86;4.67;4983.00
31ee3c346;10;1;5.70;6.00;1.32;0.18;6.86;4.67;4981.00
3eae70842;74;1;5.70;6.00;1.32;0.18;6.86;4.67;4983.00
eea2afa29;74;1;5.70;6.01;1.32;0.18;6.88;4.59;4983.00
981ff6add;138;5;5.70;6.00;1.32;0.18;6.88;4.57;4977.00
88fcda319;78;5;5.70;6.00;1.32;0.18;6.86;4.67;4984.00
3e7b1f576;440;14;5.70;6.00;1.32;0.18;6.86;4.67;4984.00
f8d90bd50;51;3;5.69;5.99;1.32;0.18;6.86;4.63;4980.00
bf5f1cb7a;39;2;5.70;6.00;1.32;0.18;6.86;4.67;4984.00
53b46595d;22;2;5.70;6.00;1.32;0.18;6.86;4.67;4984.00
d429110e6;25;2;5.67;5.98;1.33;0.18;6.84;4.52;4986.00
22a56d02a;216;4;5.77;5.85;1.31;0.17;6.97;4.24;5000.00
11374c265;16;2;5.70;6.10;1.31;0.17;6.96;4.50;5039.00
089794cb4;16;2;5.70;6.10;1.31;0.17;6.96;4.50;5039.00
334de61dd;16;2;5.69;5.90;1.31;0.17;6.88;4.27;4914.00
a2a7a29cd;16;2;5.70;6.10;1.31;0.17;6.96;4.50;5039.00
b338afa0f;18;2;5.78;5.86;1.31;0.17;6.98;4.28;5006.00
82bc2def6;77;7;5.78;5.86;1.31;0.17;6.98;4.28;5006.00
79535dc56;54;9;5.75;5.99;1.30;0.17;7.02;4.40;5110.00
3eec19864;2299;33;5.76;5.97;1.30;0.17;6.92;4.37;5107.00
80bf26b48;2398;35;5.77;5.95;1.30;0.17;6.96;4.36;5159.00
5d8c8f92d;3032;34;5.28;6.18;1.30;0.20;7.16;4.57;4285.00
5c0a95592;14;5;4.32;5.23;1.29;0.16;6.11;3.33;3090.00
0920f23b2;33;7;4.29;5.39;1.29;0.16;6.18;3.28;3153.00
5ac444887;4;4;4.32;5.23;1.29;0.16;6.11;3.33;3089.00
24c535e85;6;1;4.38;5.17;1.28;0.16;6.17;3.25;2993.00
03295a2b2;42;1;4.38;5.17;1.28;0.16;6.17;3.25;2993.00
012bd0d25;4;2;4.41;5.21;1.28;0.16;6.23;3.30;2987.00
37afd534b;155;24;4.41;5.21;1.28;0.16;6.23;3.30;2987.00
24dcc2a47;155;24;4.41;5.21;1.28;0.16;6.23;3.30;2987.00
9d07b367b;155;24;4.41;5.21;1.28;0.16;6.23;3.30;2987.00
04c06988a;2;1;4.40;5.23;1.27;0.16;6.24;3.31;2976.00
57156e364;24;1;4.40;5.23;1.27;0.16;6.24;3.31;2976.00
87ea43197;4;1;4.41;5.28;1.27;0.16;6.32;3.31;2987.00
54d422429;24;1;4.40;5.23;1.27;0.16;6.24;3.31;2976.00
332b67c89;24;1;4.41;5.28;1.27;0.16;6.32;3.31;2987.00
5620449a6;42;2;4.40;5.23;1.27;0.16;6.24;3.31;2976.00
aeea97892;24;1;4.41;5.28;1.27;0.16;6.32;3.31;2987.00
7337bb8f4;42;2;4.40;5.23;1.27;0.16;6.24;3.31;2976.00
35f280735;18;2;4.41;5.30;1.27;0.16;6.37;3.34;2997.00
31281b60e;18;2;4.41;5.30;1.27;0.16;6.37;3.34;2997.00
a82eff91b;18;2;4.41;5.28;1.27;0.16;6.32;3.31;2987.00
e39599cc4;5;1;4.41;5.30;1.27;0.16;6.37;3.34;2997.00
553241286;18;2;4.44;5.38;1.26;0.16;6.49;3.40;2987.00
8741a21b8;81;5;4.41;5.28;1.27;0.16;6.32;3.31;2987.00
224cafb25;2;1;4.41;5.31;1.27;0.16;6.37;3.34;3000.00
939a3b101;22;4;4.41;5.28;1.27;0.16;6.32;3.31;2987.00
74e54add5;2;1;4.41;5.30;1.27;0.18;6.37;3.34;2997.00
b73a2028b;19;1;4.42;5.32;1.27;0.16;6.40;3.35;3011.00
e8fa3a5d8;24;5;4.41;5.31;1.27;0.16;6.37;3.34;2998.00
46345351a;9;1;4.44;5.40;1.26;0.16;6.49;3.40;2993.00
9544c6aa6;19;1;4.42;5.32;1.27;0.16;6.40;3.35;3011.00
51113b7ca;81;6;4.41;5.31;1.27;0.16;6.37;3.34;2998.00
9fa580c29;167;5;4.43;5.40;1.26;0.16;6.49;3.40;2993.00
308255868;19;1;4.41;5.39;1.26;0.12;6.42;3.42;2975.00
5348ebf33;14;1;4.40;5.35;1.26;0.12;6.39;3.41;2950.00
aa451ef11;43;4;4.41;5.39;1.26;0.12;6.42;3.42;2975.00
e0e630e05;225;9;4.43;5.40;1.26;0.16;6.49;3.40;2993.00
204309452;13;2;4.39;5.53;1.25;0.12;6.40;3.58;3036.00
d747d5259;14;3;4.39;5.53;1.25;0.12;6.40;3.58;3036.00
68a356ed4;103;19;4.39;5.60;1.25;0.12;6.44;3.58;3081.00
d51763dda;23;1;4.42;5.64;1.25;0.14;6.50;3.58;3097.00
31339a26e;23;1;4.42;5.65;1.25;0.14;6.50;3.60;3108.00
6fcdc7eb2;8;2;4.42;5.65;1.25;0.14;6.50;3.60;3108.00
bfad7ea96;16;4;4.42;5.65;1.25;0.14;6.50;3.60;3108.00
01ceedce3;33;1;4.43;5.64;1.25;0.14;6.49;3.60;3105.00
729e90e92;33;1;4.43;5.64;1.25;0.14;6.47;3.60;3084.00
f6ca9ee01;172;1;4.43;5.64;1.25;0.14;6.49;3.60;3105.00
491e615d4;606;4;4.40;5.67;1.23;0.14;6.51;3.61;3093.00
da6ef5144;69;1;4.51;6.09;1.27;0.14;6.79;6.51;3513.00
69d6aaf61;58;1;4.51;6.05;1.27;0.14;6.75;6.38;3473.00
7071fc0a8;108;2;4.49;6.12;1.25;0.14;6.81;6.55;3501.00
5db7b9416;1166;11;4.61;6.74;1.49;0.13;7.06;6.65;3994.00
b0c8b42b2;52;3;4.61;6.74;1.49;0.13;7.06;6.65;3994.00
0cf708256;96;1;4.62;6.74;1.49;0.13;7.00;6.58;3924.00
9fa9cea2a;7;1;4.62;6.75;1.49;0.13;7.02;6.57;3925.00
03336a980;34;1;4.61;6.73;1.49;0.13;6.99;6.61;3944.00
b3c611c39;67;2;4.50;6.86;1.50;0.15;6.90;6.71;3916.00
8d1cecc95;179;3;4.55;6.75;1.48;0.15;6.79;6.72;3963.00
1e2a7252b;6;1;4.62;6.72;1.49;0.13;6.83;6.67;3906.00
07eefcd00;20;1;4.63;6.72;1.49;0.13;6.83;6.67;3906.00
54bb58811;143;4;4.56;6.76;1.49;0.15;6.82;6.75;3937.00
6e8651e24;156;4;4.55;6.86;1.48;0.15;6.87;7.21;4024.00
620981ad1;6;2;4.56;6.76;1.49;0.15;6.82;6.75;3937.00
12266f392;46;1;3.95;14.27;1.45;0.09;5.78;23.45;3426.00
5328eaf10;29;2;4.01;13.88;1.43;0.09;5.81;22.78;3513.00
3061b7c8f;57;1;3.99;12.65;1.42;0.09;5.26;21.41;3287.00
fdcd4b249;2;1;4.00;13.32;1.42;0.09;5.48;26.10;3456.00
94c972a47;242;5;3.82;12.13;1.38;0.07;6.18;24.27;3970.00
2bbd3dc4b;15;2;3.85;12.76;1.41;0.08;5.95;25.65;3890.00
e3ca9e519;15;1;3.85;13.24;1.43;0.08;5.45;26.53;3669.00
4ecae622d;318;4;3.98;11.51;1.38;0.07;6.77;22.81;4224.00
df1be3ebf;2;1;4.05;11.31;1.36;0.06;7.73;22.93;4563.00
5107dd340;12;1;3.98;11.29;1.37;0.06;7.10;22.15;4323.00
02044cd4e;123;1;4.03;11.01;1.34;0.06;7.86;22.67;4772.00
b6ea9eba5;81;10;4.00;11.05;1.35;0.06;7.75;22.68;4701.00
6309bbc26;552;4;4.16;10.60;1.32;0.05;8.29;21.57;5262.00
a5d55dc4e;1;1;4.04;10.79;1.34;0.06;7.91;22.07;4946.00
7d09e458b;16;2;4.04;10.79;1.34;0.06;7.90;22.07;4942.00
5ebbd9ab2;5;1;4.03;10.77;1.34;0.06;7.90;22.07;4928.00
4e19e15ff;84;1;4.33;10.34;1.31;0.05;8.72;21.03;5586.00
3371e35e5;68;1;4.29;10.41;1.31;0.05;8.67;21.22;5546.00
1ff742a40;457;3;4.25;10.48;1.32;0.05;8.63;21.40;5517.00
99359a790;192;9;4.23;9.98;1.41;0.05;8.84;21.86;6282.00
6cb1ab682;394;9;4.28;10.17;1.43;0.05;8.85;22.55;6157.00
6f12f6fae;99;1;4.87;9.75;1.31;0.04;10.22;18.42;10289.00
94bbe08c8;4303;201;4.87;9.75;1.31;0.04;10.22;18.42;10289.00
78c497540;7557;93;4.63;7.88;1.31;0.05;7.90;15.02;6990.00
71b544f5d;20;7;4.59;7.63;1.44;0.04;7.23;12.59;7797.00
ef1cae879;20;4;4.59;7.68;1.48;0.04;7.22;12.52;7904.00
e9fad2483;648;37;4.59;7.63;1.48;0.04;7.23;12.59;7797.00
68f85bf4b;151;30;4.60;7.98;1.49;0.04;7.23;16.18;8269.00
868dc0fed;101;2;4.63;8.24;1.51;0.05;7.15;19.18;8660.00
7a5320f85;319;4;4.60;8.17;1.54;0.05;7.04;18.76;8801.00
fca5a8e15;27;2;4.62;8.34;1.56;0.05;6.99;19.75;8996.00
ed9a2c4b9;76;11;4.64;7.75;1.52;0.05;7.08;10.59;8944.00
0e0edb572;48;2;4.66;7.45;1.50;0.05;6.83;10.19;8996.00
f7d780956;4;2;4.61;7.41;1.54;0.05;6.75;10.05;9039.00
5273cf05e;101;3;4.61;7.41;1.54;0.05;6.75;10.05;9039.00
5ae547835;139;9;4.65;7.42;1.50;0.05;6.77;10.13;9018.00
7f07f4652;36;5;4.64;7.36;1.50;0.05;6.72;10.04;9016.00
23461ee40;1528;17;6.50;12.05;1.50;0.18;9.72;832.55;14262.00
ec4eb4f3b;933;52;6.55;11.92;1.50;0.18;9.70;777.81;14079.00
4aab4ebe3;3513;107;6.48;11.90;1.50;0.18;9.45;783.72;13851.00
e8ff93464;4;1;6.46;11.92;1.49;0.18;9.62;820.39;14351.00
6a6a3022b;5;1;6.51;12.28;1.49;0.18;9.71;825.30;14666.00
ae8e4d4f0;7;2;6.47;11.95;1.50;0.18;9.62;823.50;14300.00
7a1a4afad;6327;43;6.55;12.34;1.49;0.18;9.73;810.72;14953.00
35c8da6ca;1701;9;6.55;12.14;1.49;0.18;9.81;753.71;14644.00
9fb404033;4543;41;6.55;12.13;1.49;0.18;9.64;749.72;14685.00
7e0f6d88f;237;21;6.55;12.13;1.49;0.18;9.80;757.55;14634.00
6dbeff4b5;626;33;6.55;12.13;1.49;0.18;9.80;757.55;14634.00
25e78c553;744;23;6.49;11.80;1.47;0.17;9.96;728.33;14775.00
4c0f93be9;1303;33;6.55;12.04;1.48;0.18;9.81;749.52;14687.00
a85657232;530;8;6.45;11.78;1.48;0.17;9.93;715.64;14926.00
b8a3320cb;532;15;6.31;11.38;1.49;0.16;9.59;668.72;15426.00
b15df9899;964;32;6.49;11.33;1.49;0.15;9.58;649.86;15858.00
83a3332cd;1049;19;6.46;11.23;1.48;0.15;9.78;639.77;16269.00
eddc153f9;11404;291;6.25;10.94;1.48;0.04;9.58;628.59;15868.00
1145819b6;324;14;6.53;11.36;1.49;0.16;9.83;622.73;17177.00
0b038babb;2;1;6.51;11.38;1.48;0.15;9.81;634.01;16868.00
db8b73317;308;3;6.55;11.39;1.49;0.16;9.84;623.95;17239.00
4f878d569;500;8;6.53;11.36;1.49;0.16;9.83;622.73;17171.00
9966209d7;191;4;6.55;11.38;1.48;0.16;9.83;620.30;17298.00
133037357;212;6;6.55;11.38;1.48;0.16;9.83;620.30;17297.00
1ebd97900;44;1;6.58;12.13;1.47;0.16;10.15;612.40;18696.00
8e9c935d5;627;17;6.40;10.39;1.72;0.13;9.20;516.96;19096.00
994d8fcb9;39;4;6.41;10.50;1.71;0.13;9.32;517.15;19275.00
5d7f54935;914;29;6.41;10.51;1.71;0.13;9.32;517.15;19275.00
603f6c690;309;4;6.47;10.60;1.71;0.14;9.48;520.43;19382.00
ffe49c3f0;441;15;6.46;10.53;1.71;0.14;9.41;510.55;19335.00
73dde07fa;267;2;6.51;10.63;1.71;0.14;9.49;517.37;19476.00
23a77e8ce;170;7;6.56;10.67;1.70;0.13;9.50;511.06;19875.00
df94c0d23;689;11;6.56;10.70;1.70;0.13;9.55;511.27;19912.00
88ff1f638;107;10;6.58;10.70;1.70;0.14;9.51;523.32;19920.00
4562e69de;45;5;6.57;10.72;1.70;0.14;9.51;523.32;19955.00
497f35f64;1170;26;6.55;10.66;1.69;0.14;9.51;518.48;20054.00
e71d371f2;1;1;6.53;10.62;1.69;0.14;9.38;519.81;19824.00
63a59319b;24;3;6.53;10.62;1.69;0.14;9.38;519.81;19824.00
a2cb6ab4b;875;23;6.53;10.62;1.69;0.14;9.38;519.81;19824.00
fe4acf2a6;64;5;6.54;10.56;1.71;0.14;9.07;522.59;18944.00
637978c66;68;2;6.56;10.55;1.71;0.14;9.07;522.59;18939.00
e255de7db;146;8;6.55;10.61;1.71;0.14;9.09;522.68;18930.00
9e18df665;2;1;6.53;10.59;1.72;0.14;8.86;522.86;18486.00
edd8aed81;56;10;6.53;10.59;1.72;0.14;8.86;522.86;18486.00
e28dc4ba7;988;31;6.53;10.56;1.71;0.14;8.94;518.07;18846.00
d2c9c34e3;67;4;6.52;10.60;1.72;0.14;8.83;527.73;18269.00
42ca8c4ff;79;4;6.54;10.64;1.72;0.14;8.85;530.23;18258.00
0d6c8e3a9;14;2;6.54;10.59;1.71;0.14;8.82;524.06;18372.00
a779687b4;6;1;6.54;10.59;1.71;0.14;8.82;524.06;18372.00
98d0b7f2e;240;5;6.54;10.59;1.71;0.14;8.82;524.06;18372.00
70d44071d;7;1;6.54;10.59;1.71;0.14;8.82;524.03;18372.00
f79625a9e;367;6;6.54;10.60;1.71;0.14;8.82;524.03;18376.00
ea03b91a2;28;1;6.52;10.53;1.71;0.14;8.78;521.71;18313.00
ff282b964;24;4;6.52;10.53;1.71;0.14;8.79;521.73;18317.00
106d00485;6;2;6.52;10.53;1.71;0.14;8.79;521.73;18317.00
6df4ea385;4;1;6.52;10.53;1.71;0.14;8.79;521.73;18317.00
2f8e8bc60;99;6;6.55;10.54;1.71;0.14;8.79;524.65;18337.00
715d71d38;233;4;6.54;10.48;1.72;0.14;8.75;522.05;18356.00
17b325e89;12;3;6.55;10.49;1.72;0.14;8.76;524.04;18372.00
baa00f7f8;56;5;6.56;10.49;1.72;0.14;8.77;521.83;18452.00
fedb543ce;9;1;6.61;10.45;1.72;0.14;8.74;518.27;18535.00
f29493822;11;2;6.61;10.45;1.72;0.14;8.74;518.27;18535.00
75e9bfa3b;2;1;6.61;10.45;1.72;0.14;8.74;518.27;18535.00
5b6d1f8c8;90;2;6.61;10.45;1.72;0.14;8.74;518.27;18535.00
71330c061;220;2;6.61;10.47;1.72;0.14;8.73;525.81;18522.00
479f89fc3;4;1;6.61;10.45;1.72;0.14;8.72;519.68;18498.00
19fac95ca;224;3;6.61;10.45;1.72;0.14;8.72;519.68;18498.00
f38eb995d;38;5;6.59;10.45;1.72;0.14;8.71;525.65;18530.00
f6965b1e6;878;437;6.60;10.45;1.72;0.14;8.71;525.88;18533.00
d1cd15328;148;2;6.60;10.45;1.72;0.14;8.71;525.88;18533.00
3768a53a8;152;2;6.60;10.45;1.72;0.14;8.71;525.88;18533.00
71cda3ebd;43;2;6.74;10.51;1.71;0.14;8.77;520.89;19023.00
87208280d;85;12;6.72;10.51;1.71;0.14;8.77;520.89;19023.00
14ea26be8;180;2;6.75;10.52;1.71;0.14;8.78;520.89;19026.00
6d0340767;2;1;6.75;10.52;1.71;0.14;8.75;520.89;19026.00
7bfeccced;61;3;6.74;10.49;1.72;0.14;8.71;519.03;19068.00
61af0c013;5;1;6.74;10.50;1.73;0.14;8.69;520.16;19040.00
870096572;501;110;6.74;10.50;1.73;0.14;8.69;520.16;19047.00
a00ea07a4;108;4;6.62;10.44;1.73;0.14;8.50;516.57;19119.00
421c5bbb2;881;7;6.63;10.36;1.73;0.14;8.48;512.04;19175.00
7494a2c05;24;1;6.63;10.36;1.73;0.14;8.49;512.21;19182.00
2a4b18e74;56;3;6.64;10.37;1.73;0.14;8.50;512.21;19194.00
a03bf90c1;25;1;6.64;10.37;1.73;0.14;8.50;512.21;19194.00
b5501c563;6;2;6.61;10.21;1.73;0.14;8.50;512.11;19018.00
2d03fa971;73;1;6.60;10.22;1.73;0.14;8.53;510.99;19062.00
da06e59e7;709;19;6.68;10.20;1.73;0.15;8.55;509.87;19305.00
29bceefab;383;12;6.66;10.22;1.74;0.15;8.57;508.77;19408.00
2d6a39c9b;262;11;6.66;10.22;1.74;0.15;8.56;508.22;19446.00
7748fd5e6;16;6;6.66;10.22;1.74;0.15;8.56;508.22;19446.00
851de4154;17;7;6.66;10.22;1.74;0.15;8.56;508.23;19449.00
fa58d3637;244;32;6.73;10.23;1.74;0.15;8.56;508.27;19460.00
5ec4f761b;252;34;6.66;10.23;1.74;0.15;8.56;508.27;19460.00
a0bfaa220;18;6;6.73;10.23;1.74;0.15;8.56;508.27;19460.00
ba5edc9bf;252;34;6.66;10.23;1.74;0.15;8.56;508.27;19460.00
434d1f420;2;2;6.73;10.23;1.74;0.15;8.56;508.27;19462.00
5ab208308;2;2;6.73;10.23;1.74;0.15;8.56;508.27;19462.00
6c58557f5;23;1;6.73;10.23;1.74;0.15;8.56;508.53;19466.00
db627720e;354;24;6.73;10.23;1.74;0.15;8.56;508.27;19462.00
b9d5a4db8;3;1;6.75;10.25;1.73;0.15;8.62;506.49;19535.00
