fileid;commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC
589;2f3a561c6;0;0;3.955;12.113;1.475;0.095;13.502;23;10720
590;4ccf9bbd9;5;1;3.955;12.122;1.475;0.095;13.525;23;10729
591;0b4c4bbcf;0;0;3.955;12.131;1.475;0.095;13.538;23;10737
592;e7d85d8b6;117;7;4.023;11.959;1.465;0.097;13.668;23;10403
593;d7143d685;0;0;4.005;11.923;1.466;0.100;13.543;23;10551
594;ec4787a92;0;0;3.995;11.799;1.466;0.100;13.452;23;10363
595;5bc96652e;0;0;3.995;11.799;1.466;0.100;13.457;23;10353
596;3ccb2d97e;0;0;3.995;11.799;1.466;0.100;13.457;23;10353
597;99f6043ce;123;7;4.023;11.959;1.465;0.097;13.668;23;10403
598;afc0e0240;0;0;3.955;12.131;1.475;0.095;13.548;23;10740
599;fd1b598ea;16;1;3.968;11.864;1.464;0.095;13.445;23;10472
600;2397e1e8;0;0;3.959;11.868;1.464;0.095;13.432;23;10482
601;3f79d129b;2;1;3.950;11.823;1.464;0.095;13.391;23;10459
602;0a0d3c88e;7;1;3.950;11.827;1.464;0.095;13.391;23;10460
603;7adeef1ee;8;1;3.950;11.836;1.464;0.095;13.391;23;10462
604;b6132e853;33;4;3.950;11.836;1.464;0.095;13.400;23;10463
605;4b7c7e886;2;1;3.968;11.864;1.464;0.095;13.445;23;10472
606;3e9a3ec74;2;1;3.977;11.868;1.464;0.095;13.464;23;10476
607;8309fb242;2;1;3.977;11.868;1.464;0.095;13.464;23;10476
608;ffba05fd3;8;1;3.977;11.859;1.464;0.095;13.464;23;10467
609;9ba172b0d;8;1;3.995;11.799;1.466;0.100;13.452;23;10363
610;56f0e9691;23;2;3.977;11.859;1.464;0.095;13.464;23;10467
611;feb863df;0;0;3.995;11.808;1.461;0.096;13.461;23;10368
612;f5f8b7f29;116;7;3.977;11.873;1.464;0.095;13.464;23;10473
613;be1a8403f;25;3;4.000;11.817;1.461;0.096;13.479;23;10372
614;4ae2e1f11;115;6;3.977;11.873;1.464;0.095;13.464;23;10472
615;745cb01ed;96;5;4.037;12.096;1.472;0.101;13.761;24;10542
616;9aea65bee;23;3;4.032;12.083;1.472;0.101;13.761;24;10539
617;4c2fca645;6;1;4.023;11.949;1.465;0.097;13.654;23;10401
618;e2d299807;0;0;4.028;11.949;1.465;0.097;13.654;23;10401
619;91c262dc0;36;3;4.009;11.872;1.461;0.096;13.543;23;10416
620;933bbb3a3;79;4;4.023;11.949;1.465;0.097;13.654;23;10401
621;3438b8669;0;0;4.032;12.083;1.472;0.101;13.761;24;10539
622;88ff311f;0;0;4.068;12.150;1.468;0.100;14.000;24;10761
623;6b770d019;4;1;4.023;11.949;1.465;0.097;13.668;23;10401
624;d3e712232;3;1;4.055;11.977;1.461;0.096;13.858;23;10550
625;e6f09123b;3;1;4.059;11.977;1.461;0.096;13.858;23;10550
626;d08932334;0;0;4.068;11.977;1.461;0.096;13.858;23;10550
627;6592c42d;0;0;4.027;11.973;1.461;0.096;13.785;23;10524
628;207128db9;0;0;4.055;11.986;1.461;0.096;13.854;23;10557
629;1bc994ec8;0;0;4.050;12.018;1.461;0.096;13.872;23;10603
630;a7d395f45;0;0;4.050;12.082;1.461;0.096;13.877;23;10645
631;fa77c15e8;0;0;4.050;12.014;1.461;0.096;13.881;23;10599
632;183e1c9ff;0;0;4.050;12.018;1.461;0.096;13.895;23;10604
633;58fc5a501;0;0;4.050;12.014;1.461;0.096;13.890;23;10602
634;1cacd7968;0;0;4.037;12.083;1.472;0.101;13.761;24;10539
635;43266964;0;0;4.104;12.462;1.457;0.113;14.317;26;11080
636;e65982505;0;0;4.976;16.029;1.587;0.102;18.714;48;13733
637;f0722843f;0;0;4.054;12.199;1.466;0.100;14.018;24;10838
638;b2235c3a4;0;0;4.054;12.199;1.466;0.100;14.018;24;10838
639;01d3d02a0;0;0;4.077;12.378;1.464;0.113;14.194;26;11014
640;842c35be3;1;1;4.077;12.387;1.464;0.113;14.230;26;11032
641;5bb9f87fa;0;0;4.095;12.434;1.457;0.113;14.290;26;11025
642;a7400216e;0;0;4.095;12.434;1.457;0.113;14.290;26;11025
643;7d625181f;0;0;4.104;12.443;1.457;0.113;14.271;26;11060
644;778f681c2;0;0;4.104;12.452;1.457;0.113;14.299;26;11066
645;5c8c3538e;0;0;4.104;12.462;1.457;0.113;14.299;26;11072
646;586e7d5fe;0;0;4.104;12.462;1.457;0.113;14.299;26;11072
647;0dde85e41;6;1;4.104;12.462;1.457;0.113;14.299;26;11072
648;7ae377d3e;0;0;4.113;12.466;1.457;0.113;14.344;26;11085
649;e387c23b6;7;1;5.029;16.325;1.578;0.117;19.063;50;13983
650;b40f54af0;0;0;4.105;12.635;1.452;0.105;14.457;27;11246
651;7cb144000;2;1;4.104;12.466;1.457;0.113;14.330;26;11082
652;678420cd4;0;0;4.113;12.466;1.457;0.113;14.339;26;11084
653;ffa872011;14;2;4.105;12.635;1.452;0.105;14.457;27;11246
654;bb629d1ba;0;0;4.105;12.648;1.452;0.105;14.479;27;11253
655;bc54dd8ef;0;0;4.105;12.648;1.452;0.105;14.479;27;11253
656;d6667dd4;0;0;4.105;12.658;1.452;0.114;14.489;28;11259
657;6d3ad183a;333;4;4.132;12.709;1.486;0.127;14.568;28;11367
658;156d5d895;2;1;4.105;12.671;1.452;0.114;14.507;28;11261
659;8c9169284;11;2;4.105;12.667;1.452;0.114;14.507;28;11258
660;6523458;0;0;4.132;12.709;1.486;0.127;14.568;28;11367
661;b66ed5e5d;0;0;4.132;12.714;1.486;0.127;14.568;28;11369
662;10bee204e;0;0;4.132;12.718;1.486;0.127;14.573;28;11377
663;1361bce6b;0;0;4.132;12.714;1.486;0.127;14.568;28;11369
664;ec4f41dd;0;0;4.156;12.876;1.491;0.128;14.739;28;11394
665;03f5f8ad;0;0;4.132;12.723;1.486;0.127;14.577;28;11380
666;82005c2;0;0;4.156;12.817;1.491;0.128;14.688;28;11350
